id,category,stem,options,answer,action,reason,source
qi_item_fGk6ILLpbwAJ,A-依赖图（答案在图里）,这个标志是何含义？,停车场 | 观景台 | 休息区 | 服务区,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_MS3g7Q8kVf3K,A-依赖图（答案在图里）,这个标志是何含义？,禁止左转 | 此路不通 | 禁止通行 | 超高绕行,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_X8JZg0n_byR4,A-依赖图（答案在图里）,如图所示，驾驶机动车在没有划分车道的道路上通行，以下正确的做法是什么？,机动车在道路中间通行 | 非机动车在道路中间通行 | 行人在道路中间通行 | 非机动车在道路左侧通行,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_xyVuvuVtrmGv,A-依赖图（答案在图里）,如图所示，机动车在这种道路上通行，在道路中间通行的原因是什么？,给两侧的非机动车和行人留有充足的通行空间 | 在道路中间通行视线好 | 在道路中间通行速度快 | 防止车辆冲出路外,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_0psLJCOvjiAA,A-依赖图（答案在图里）,这个标志是何含义？,高速公路下一出口预告 | 高速公路右侧出口预告 | 高速公路目的地预告 | 高速公路左侧出口预告,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_e8dte16Z0TqK,A-依赖图（答案在图里）,这个标志是何含义？,停车领卡 | 停车缴费 | 停车检查 | ETC通道,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_AnaQcf5vSy8-,A-依赖图（答案在图里）,这个标志是何含义？,高速公路ETC车道 | 高速公路缴费车道 | 高速公路检查车道 | 高速公路领卡车道,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_ndyz1I93KXk2,A-依赖图（答案在图里）,这个标志是何含义？,高速公路特殊天气最高速度 | 高速公路特殊天气建议速度 | 高速公路特殊天气最低速度 | 高速公路特殊天气平均速度,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_1bsAzzKIJ4a1,A-依赖图（答案在图里）,这个标志是何含义？,高速公路收费站预告 | 高速公路服务区预告 | 高速公路避险处预告 | 高速公路客车站预告,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_rrx-IFs_nenA,A-依赖图（答案在图里）,这个标志是何含义？,高速公路停车区预告 | 高速公路避险处预告 | 高速公路服务区预告 | 高速公路停车场预告,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item__inxPDPEXNaS,A-依赖图（答案在图里）,这个标志预告什么？,高速公路服务区预告 | 高速公路避险处预告 | 高速公路客车站预告 | 高速公路停车场预告,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_TTKENEToycWv,A-依赖图（答案在图里）,如图所示，道路上划设这种标线的车道内允许下列哪类车辆通行？,出租车 | 公务用车 | 公交车 | 私家车,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_sBLYVuihp2bG,A-依赖图（答案在图里）,下列哪个交通标志，表示硬路肩允许行驶路段即将结束，车辆应尽快合流？,如图中D所示 | 如图中B所示 | 如图中A所示 | 如图中C所示,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_bEdZ3uFVkBM6,A-依赖图（答案在图里）,下列哪个交通标志，表示该道路仅供非机动车推行，不准骑行？,如图1所示 | 如图2所示 | 如图3所示 | 如图4所示,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_iPjg5nzTds9B,A-依赖图（答案在图里）,驾驶这种自学直考机动车上路学习驾驶，需符合什么条件？,有随车人员指导 | 取得学习驾驶证明 | 符合自学直考规定 | 没有条件限制,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_hxDwJNeJQxZo,A-依赖图（答案在图里）,在图中所示的道路上跟车行驶，为什么要保持较大的跟车距离？,不能正确判断水的深度 | 路面积水会影响对距离的判断 | 前车驾驶人的反应会变得迟钝 | 溅起来的水会影响视线,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_-TcbSRLkXvq7,A-依赖图（答案在图里）,图中上路学习驾驶的自学直考车有什么违法行为？,搭载随车指导人员以外的其他人员 | 学车专用标识粘贴的位置不符合规定 | 自学人员和随车指导人员都没有系安全带 | 没有使用教练车在道路上进行训练,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_yr4zCqajHsc9,A-依赖图（答案在图里）,遇到图中情况，我方机动车应如何行驶？,只要不影响对面车辆左转就可以向右转弯 | 不用考虑对面车辆直接向右转弯 | 等待对面车辆向左转后再向右转弯 | 如果已经越过停止线就可以加速向右转弯,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_h_KBOtGc65lD,A-依赖图（答案在图里）,在高速公路上行驶，遇到图中车辆无法继续行驶，应怎样放置危险警告标志？,在车后50米处放置警告标志 | 在车后50米至100米处放置警告标志 | 在车后150米以外放置警告标志 | 根据道路交通情况在适当位置放置警告标志,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_nbNIjtVbiGCb,A-依赖图（答案在图里）,遇到这种信号灯亮时，以下哪种是正确的做法？,在不妨碍放行车辆、行人的情况下，可以通行 | 在不妨碍放行车辆、行人的情况下，可以直行 | 在不妨碍放行车辆、行人的情况下，可以左转 | 在不妨碍放行车辆、行人的情况下，可以右转,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_pA2TzhDJXPwk,A-依赖图（答案在图里）,如图所示，驾驶这辆机动车能否进入高速公路行驶？,有取得该车型驾驶证驾驶人随车指导可以进入 | 在持该车型驾驶证3年以上的驾驶人陪同下允许进入 | 取得准驾该车型驾驶证的驾驶人可以独立驾驶进入 | 在高速公路收费人员许可的前提下通过收费口进入,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_k3gmf0-t3oXB,A-依赖图（答案在图里）,以下哪个指示灯亮，表示当前汽车发动机温度过高或者冷却液过少？,如图A所示 | 如图B所示 | 如图C所示 | 如图D所示,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_oeOo7dQfAnaF,A-依赖图（答案在图里）,以下交通标志表示除载货汽车和拖拉机外，其他车辆可以直行。,正确 | 错误,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_JBelC0erX9G_,A-依赖图（答案在图里）,如图所示，红圈内开关控制什么？,儿童安全锁 | 车门锁住、开锁 | 电动车门 | 两侧车窗玻璃,,补图后看图定答案,正确答案不能为空,OCR录入
